has_crosswalk,has_traffic_sign,has_traffic_light,has_bicycle,obstruction_density,sidewalk_ratio,cycling_lane_coverage,greenery_ratio,road_condition,scene_label,Cluster,u,v,key
0.0,1.0,0.0,0.0,0.5373014669777426,0.7103871918984725,-1.573808688043083,0.6106732569549316,1.0,residential_neighborhood,5,11676245112,5472136474,0
1.0,1.0,1.0,1.0,0.601784623562118,0.3648970004316624,0.1928439420062828,0.5162480742179743,1.0,residential_neighborhood,6,11679738550,11679738561,0
1.0,1.0,1.0,1.0,0.601784623562118,0.3648970004316624,0.1928439420062828,0.5162480742179743,1.0,residential_neighborhood,6,11679738561,11679738550,0
0.0,1.0,0.0,0.0,0.5256374745213663,-0.13036850282365703,-2.5909730962058712,0.6486009769549675,1.0,alley,2,11680163652,11680163654,0
0.0,1.0,0.0,0.0,0.5256374745213663,-0.13036850282365703,-2.5909730962058712,0.6486009769549675,1.0,alley,2,11680163654,11680163652,0
1.0,1.0,1.0,0.0,0.591216556184773,1.059798162025613,0.18300247266722502,0.46389689016887703,1.0,alley,6,11680163654,2134147696,0
0.0,1.0,1.0,1.0,0.6374305096168458,0.8450568829899046,-3.749518242159987,0.6292728493678644,1.0,alley,2,11680167627,11680167630,0
0.0,1.0,1.0,1.0,0.6374305096168458,0.8450568829899046,-3.749518242159987,0.6292728493678644,1.0,alley,2,11680167630,11680167627,0
0.0,1.0,1.0,1.0,0.5299982974821001,0.6208565168909388,0.03043306735739924,0.5095862154091769,1.0,residential_neighborhood,5,11680202585,5714372783,0
1.0,1.0,1.0,1.0,0.5446521649432413,0.7899931841003662,0.14513763015587247,0.4838180065362701,1.0,residential_neighborhood,5,11680202623,2134147699,0
1.0,1.0,1.0,1.0,0.512116475038115,0.7463931866102964,-1.0425811001044596,0.5146436997823165,1.0,residential_neighborhood,5,11680202623,5714355013,0
0.0,1.0,1.0,1.0,0.5109885381798904,0.9793578435245716,-2.542948057083713,0.6813597201792768,1.0,street,2,11686634518,2321666730,0
1.0,1.0,1.0,1.0,0.5330150131222289,-0.013955508852116527,-1.6587320885698253,0.6652331723643587,1.0,residential_neighborhood,2,11686669211,8655095206,0
0.0,1.0,1.0,0.0,0.5033575724672783,1.2965071480851678,-4.30102061345062,0.6652669512492068,1.0,street,2,11686670277,11686670278,0
0.0,1.0,1.0,0.0,0.5033575724672783,1.2965071480851678,-4.30102061345062,0.6652669512492068,1.0,street,2,11686670278,11686670277,0
0.0,1.0,1.0,1.0,0.47860442566538125,1.0844169939347983,0.1928439420062828,0.6920064237342917,1.0,crosswalk,5,11686670279,2321666730,0
0.0,1.0,1.0,1.0,0.5781650516424109,0.39781864200906497,0.1928439420062828,0.5067240169088901,1.0,street,5,11687243996,11687243998,0
0.0,1.0,0.0,1.0,0.5698725662856997,-0.37125334214725547,0.07665324380654401,0.6214266696321673,1.0,street,5,11687243996,31241720,0
0.0,1.0,1.0,1.0,0.5806947876767717,-0.21554133115985422,-0.015058797970417315,0.6341067550540257,1.0,street,5,11687243998,10940906114,0
0.0,1.0,1.0,1.0,0.5781650516424109,0.39781864200906497,0.1928439420062828,0.5067240169088901,1.0,street,5,11687243998,11687243996,0
1.0,1.0,1.0,1.0,0.5763932865013521,0.24299873555499438,-0.6217755207199157,0.6765672693316932,1.0,alley,3,11687275581,11687275582,0
1.0,1.0,1.0,1.0,0.5763932865013521,0.24299873555499438,-0.6217755207199157,0.6765672693316932,1.0,alley,3,11687275582,11687275581,0
1.0,1.0,1.0,0.0,0.5952817174180222,1.0951595347554821,0.13310657999580497,0.5868645049218768,1.0,alley,6,11687280203,31241737,0
1.0,1.0,1.0,0.0,0.6151899863587359,0.05102054376184886,-0.34057031583516284,0.6656782791687017,1.0,alley,6,11687287430,1954072819,0
1.0,1.0,1.0,1.0,0.5449701110971447,1.4117921493832222,0.0960718015424503,0.6681376403515611,1.0,street,5,11687287430,31241710,0
1.0,1.0,1.0,1.0,0.6023199960976928,-0.17135620110291488,0.17559520907904866,0.47723602657312514,1.0,alley,5,11688680336,2780761229,0
0.0,1.0,0.0,0.0,0.5739639389238058,0.06167060339069882,0.0005236971252947805,0.625389993549971,1.0,alley,5,11688680336,321740735,0
0.0,1.0,1.0,1.0,0.6230992533534295,-0.5170928068045767,0.06635323387323303,0.6408249275531832,1.0,street,5,11688680340,2780761231,0
0.0,1.0,1.0,0.0,0.5609813843073845,0.5111433769882784,0.08858012509572642,0.6367769522747808,1.0,alley,5,11688680340,8375492417,0
1.0,1.0,1.0,1.0,0.5714538750895929,1.2705127957033766,0.1928439420062828,0.46558994199127446,1.0,residential_neighborhood,3,11688727968,11688742370,0
1.0,1.0,1.0,1.0,0.5714538750895929,1.2705127957033766,0.1928439420062828,0.46558994199127446,1.0,residential_neighborhood,3,11688742370,11688727968,0
1.0,1.0,1.0,0.0,0.5605877901249988,-1.4422136654003233,-0.10825893931043333,0.5534174773167005,1.0,residential_neighborhood,0,11688742370,321740669,0
1.0,1.0,1.0,1.0,0.6212391327534582,-0.8590395339095607,0.17787017709755976,0.6905752756199958,1.0,driveway,0,11688742372,6564683008,0
1.0,1.0,1.0,1.0,0.5824191871107809,0.9303968138506121,0.18274865589799605,0.4412193108313222,1.0,street,5,11689969739,11689969750,0
1.0,1.0,1.0,1.0,0.5700931566108649,0.4682319401232883,0.16477192631806015,0.4901780592246923,1.0,residential_neighborhood,5,11689969739,6538780944,0
1.0,1.0,1.0,1.0,0.5824191871107809,0.9303968138506121,0.18274865589799605,0.4412193108313222,1.0,street,5,11689969750,11689969739,0
1.0,1.0,1.0,0.0,0.5880172639562434,0.2062791645009075,0.1928439420062828,0.44669954918158294,1.0,residential_neighborhood,3,11689969754,6538780944,0
1.0,1.0,1.0,1.0,0.6451643853835906,-1.7100835193613857,0.1928439420062828,0.6852670300238674,1.0,alley,0,11690174631,8317572225,0
1.0,1.0,1.0,1.0,0.6370221491504123,-1.9608818076121997,0.1928439420062828,0.6629809166404019,1.0,alley,0,11690174632,11690174633,0
1.0,1.0,1.0,1.0,0.6370221491504123,-1.9608818076121997,0.1928439420062828,0.6629809166404019,1.0,alley,0,11690174633,11690174632,0
1.0,1.0,1.0,1.0,0.602196175747657,0.9962089624408813,0.18682972900560224,0.3893401173380654,1.0,residential_neighborhood,5,11690249303,1595871452,0
0.0,1.0,0.0,0.0,0.6066811251464623,1.1271486176883283,0.03641820136918325,0.4246616721571323,1.0,residential_neighborhood,5,11690249303,242433882,0
0.0,1.0,1.0,0.0,0.6070562625177316,-0.5992996666334715,-1.681901674595979,0.6658794516192041,1.0,alley,6,11692822478,242433706,0
1.0,1.0,0.0,0.0,0.62312055326212,-1.3089053084333255,-0.0642081525274752,0.5189971317616997,1.0,alley,0,11692822478,6544191284,0
1.0,1.0,1.0,1.0,0.6315704612008601,-2.3092942733305786,0.1928439420062828,0.6697311601388567,1.0,alley,0,11693044397,6544254600,0
1.0,1.0,1.0,0.0,0.5940149483211626,-0.17175038914873966,0.03081734394471589,0.5955288850302889,1.0,residential_neighborhood,6,11693044398,242433600,0
1.0,1.0,1.0,1.0,0.6446418220126027,-1.6374227648473467,-0.5915207460646116,0.6441433589300878,1.0,alley,0,11693044398,747055660,0
1.0,1.0,0.0,1.0,0.5590497725770353,0.3549422235036889,0.1928439420062828,0.48240038383414413,1.0,alley,6,11693044399,747055659,0
1.0,1.0,1.0,1.0,0.6021912116779652,-1.0136177299174391,0.1928439420062828,0.5871708949453807,1.0,alley,0,11696372058,237030038,0
1.0,1.0,0.0,1.0,0.5841838591447749,-0.7356448209849197,-0.009023810112963469,0.480660392116016,1.0,alley,3,11696372059,11696372060,0
1.0,1.0,0.0,1.0,0.5841838591447749,-0.7356448209849197,-0.009023810112963469,0.480660392116016,1.0,alley,3,11696372060,11696372059,0
0.0,1.0,1.0,0.0,0.4855369345035851,-0.08269333211115584,-12.616793248249309,0.6286843663357132,1.0,alley,1,11696372065,237030038,0
0.0,1.0,1.0,1.0,0.5989942584650458,0.5895149919405417,-0.12078507286705242,0.6358896210253172,1.0,alley,6,11696372065,242433495,0
1.0,1.0,1.0,1.0,0.6184148912328312,0.4797836795881059,0.12738948372950365,0.6346862733468119,1.0,alley,6,11696372066,242433675,0
1.0,1.0,1.0,1.0,0.626147734831284,-1.8612897572870777,-1.6261604897456527,0.6748541294327419,1.0,street,0,11696643400,7188588286,0
1.0,1.0,1.0,1.0,0.6009860620212384,0.44069554694884544,0.1928439420062828,0.5316597106688327,1.0,alley,6,11696643407,237026298,0
1.0,1.0,1.0,0.0,0.6499593678731695,-1.4309788720671337,0.1337098408139348,0.6749306969365014,1.0,alley,0,11697297112,299387915,0
0.0,1.0,0.0,1.0,0.5441970080284991,0.7180126649616017,-2.2355072063090575,0.5328457055092475,1.0,residential_neighborhood,2,11722019530,25584007,0
1.0,1.0,1.0,1.0,0.5818020940805284,1.4425026544454758,-0.09380201288959736,0.519416896892065,1.0,driveway,3,11743521478,6708905742,0
1.0,1.0,1.0,0.0,0.646365151461682,-1.7251768086852288,-0.16675430658503235,0.6419178239153228,1.0,alley,0,1190345311,1190345320,0
1.0,1.0,1.0,0.0,0.6356718517951647,-1.7949181980146978,-0.7290512995560087,0.6684993628092158,1.0,alley,0,1190345313,1190345326,0
1.0,1.0,1.0,0.0,0.6358661079687543,-0.9240699529013665,0.16695472230428446,0.6878789491170545,1.0,alley,0,1190345314,8317598688,0
1.0,1.0,1.0,0.0,0.6390109182970193,-1.1716494638781196,0.1928439420062828,0.6821036884416658,1.0,alley,0,1190345318,1190345322,0
1.0,1.0,1.0,0.0,0.6521614654572021,-2.3901190936397096,0.1928439420062828,0.6783039160531648,1.0,alley,0,1190345318,1190345339,0
1.0,1.0,1.0,0.0,0.646365151461682,-1.7251768086852288,-0.16675430658503235,0.6419178239153228,1.0,alley,0,1190345320,1190345311,0
1.0,1.0,1.0,0.0,0.6390109182970193,-1.1716494638781196,0.1928439420062828,0.6821036884416658,1.0,alley,0,1190345322,1190345318,0
